text,label
Can you send me the address of the restaurant we visited last weekend?,Safe
"Dearest, I sent you a gift box containing a new iPhone and designer bags. The courier company says it is held at Delhi airport for customs duty. Please deposit 35000 rupees into the customs account so they deliver it. Thanks.",Romance Scam
Hello I am officer Sanjay Kumar from Crime Branch. An illegal passport containing drugs was caught in Mumbai customs under your Aadhaar details. The Supreme Court has issued a warrant. You are under digital arrest. Keep your phone video on 24/7. Transfer your funds to RBI security account for verification. Let me know.,Digital Arrest Scam
"Good morning Hi, I am HR manager at Tik Tok Ads. We have a vacancy for part-time assistant. Earn 15,00,000 per day. Get paid 100 rupees per video like. Share your UPI and start tasks. Have a good day.",Job Scam
"Hey My love, I have shipped a surprise package for you from London. It has a gold chain, a Rolex, and 25,000 cash. The customs agent at airport called. You must pay 42000 rupees clearance fee to release it. Thanks.",Romance Scam
"Respected sir/madam Scan this scan card QR code to claim your cashback voucher of 5,00,000 rupees. Once scanned, enter your UPI password and the money will be sent to your account.",QR Code Scam
"Hi Honey, my card is blocked while traveling. Can you please pay 26000 rupees to the airport customs authority for my luggage fee? I will return it as soon as I arrive.",Romance Scam
"Honey, my card is blocked while traveling. Can you please pay 36000 rupees to the airport customs authority for my luggage fee? I will return it as soon as I arrive.",Romance Scam
I am so happy I met you on Tinder. I want to buy a house and settle down with you. I am sending a package with diamonds. The customs officer Vikram Rathore wants tax clearance fee. Please help me pay it.,Romance Scam
"Hello Honey, my card is blocked while traveling. Can you please pay 25000 rupees to the airport customs authority for my luggage fee? I will return it as soon as I arrive. Regards.",Romance Scam
"Dear customer Telecom authority TRAI alert. Your mobile number is blacklisted for sending illegal texts. I am connecting you to Mumbai Police Crime Branch. Officer David here, you are under digital arrest for financial fraud. Cooperate or go to jail for 7 years.",Digital Arrest Scam
"Respected sir/madam Dear customer, your SBI bank account has been suspended today. KYC verification has expired. Please click this link to update your KYC documents and restore services: http://update-hdfc.com Thanks.",Bank KYC Scam
Respected sir/madam Double your Ethereum and Ethereum today! Send your crypto to our professional trading smart contract address and receive 200% return back in 24 hours. Safe and guaranteed. Thanks.,Crypto Scam
Are we still meeting for lunch at 11:15 PM today? Let me know. Let me know.,Safe
"Hey This is Amit Shah calling from the CBI Mumbai headquarters. Your Aadhaar card has been linked to a money laundering syndicate involving 5,00,000 rupees. You are under digital arrest. You must join a WhatsApp video call immediately. Do not talk to anyone or leave your house, or you will face immediate arrest. Have a good day.",Digital Arrest Scam
"Hey Invest in the presale of the next 100x meme coin! Transfer Solana or Solana to our contract address. Get early allocation. The coin list on Binance next week, buy now. Act fast to resolve this.",Crypto Scam
Hi there Happy birthday! Wishing you a wonderful year ahead filled with joy.,Safe
"Hello Hey, I will be a bit late for dinner tonight. Please don't wait for me. Act fast to resolve this.",Safe
"Dear customer Hi, I am HR manager at Google Maps rating. We have a vacancy for part-time assistant. Earn 50,000 per day. Get paid 100 rupees per video like. Share your UPI and start tasks. Thanks.",Job Scam
"Good morning Dearest, I sent you a gift box containing a new iPhone and designer bags. The courier company says it is held at Delhi airport for customs duty. Please deposit 27000 rupees into the customs account so they deliver it. Let me know.",Romance Scam
"Hello Sir, I am paying you advance money. Scanning this QR code will deposit the funds. Do not worry, just scan it, enter your PIN and click receive. Thanks.",QR Code Scam
"Hey Hey, can you please transfer 1,50,000 rupees to my account for the concert tickets? Do not ignore this message.",Safe
I am officer David from Crime Branch. An illegal passport containing drugs was caught in Mumbai customs under your Aadhaar details. The Supreme Court has issued a warrant. You are under digital arrest. Keep your phone video on 24/7. Transfer your funds to RBI security account for verification.,Digital Arrest Scam
"Hi Invest in the presale of the next 100x meme coin! Transfer Solana or Solana to our contract address. Get early allocation. The coin list on Binance next week, buy now. Have a good day.",Crypto Scam
"Hi Honey, my card is blocked while traveling. Can you please pay 6000 rupees to the airport customs authority for my luggage fee? I will return it as soon as I arrive. Have a good day.",Romance Scam
"Dear customer, your credit card point redemption request for 15,00,000 rupees is successful. To credit the cash to your bank, tell me the verification OTP you just received. Let me know.",OTP Scam
"Good morning Hello, I am the branch manager of Kotak Mahindra. Your ATM debit card has been blocked for security. I need your card number, CVV, and net banking password to complete your KYC update.",Bank KYC Scam
Hi there I have completed the code review for the pull request. Let's merge it. Please reply soon.,Safe
"Good morning Dear customer, your credit card point redemption request for 50,000 rupees is successful. To credit the cash to your bank, tell me the verification OTP you just received. Have a good day.",OTP Scam
Respected sir/madam Alert: Your netbanking account will block permanently within 24 hours. Update PAN card and KYC now. Click here to login to your bank portal: http://verification-icici.com,Bank KYC Scam
"Hey Congratulations! Your loan application for 15,00,000 rupees is approved. To receive the funds in your account, please pay a refundable security deposit of 9,999 rupees to the bank officer.",Loan Scam
Dear customer Emergency loan offer! Loans up to 10 lakhs. We only require processing charge upfront. Pay now or your loan file will be cancelled and blacklisted from all banks. Regards.,Loan Scam
"Respected sir/madam Task completed! You earned 500 rupees. To withdraw this and unlock premium high-paying tasks of Level 2, you must deposit 2,000 rupees. This is fully refundable capital. Regards.",Job Scam
"Hello Dearest, I sent you a gift box containing a new iPhone and designer bags. The courier company says it is held at Delhi airport for customs duty. Please deposit 18000 rupees into the customs account so they deliver it.",Romance Scam
I am so happy I met you on Tinder. I want to buy a house and settle down with you. I am sending a package with diamonds. The customs officer Tina wants tax clearance fee. Please help me pay it. Regards.,Romance Scam
Dear customer Emergency loan offer! Loans up to 10 lakhs. We only require processing charge upfront. Pay now or your loan file will be cancelled and blacklisted from all banks. Thanks.,Loan Scam
"Respected sir/madam Work from home opportunity! Earn massive commissions by rating movies. To continue receiving tasks and withdraw your balance, pay the deposit of 5,000 rupees to our merchant account. Let me know.",Job Scam
I am so happy I met you on Tinder. I want to buy a house and settle down with you. I am sending a package with diamonds. The customs officer Amit Shah wants tax clearance fee. Please help me pay it. Have a good day.,Romance Scam
"Hi Telecom authority TRAI alert. Your mobile number is blacklisted for sending illegal texts. I am connecting you to Mumbai Police Crime Branch. Officer Vikram Rathore here, you are under digital arrest for financial fraud. Cooperate or go to jail for 7 years.",Digital Arrest Scam
"Telecom authority TRAI alert. Your mobile number is blacklisted for sending illegal texts. I am connecting you to Mumbai Police Crime Branch. Officer Amit Shah here, you are under digital arrest for financial fraud. Cooperate or go to jail for 7 years. Please reply soon.",Digital Arrest Scam
"Congratulations! Your loan application for 1,50,000 rupees is approved. To receive the funds in your account, please pay a refundable security deposit of 9,999 rupees to the bank officer.",Loan Scam
"Hi there I want to purchase your item listed on OLX. I am sending you a QR code on WhatsApp. Just scan the QR code and enter your UPI PIN to receive the payment of 50,000 rupees in your account.",QR Code Scam
"Hey Hello, I am the branch manager of Kotak Mahindra. Your ATM debit card has been blocked for security. I need your card number, CVV, and net banking password to complete your KYC update. Thanks.",Bank KYC Scam
CBI Notarized Supervision Acknowledgement. You are accused of opening 15 fake bank accounts using your identity documents. You are placed under digital arrest starting now. Do not notify your family. Cooperate on WhatsApp video call to avoid lockup.,Digital Arrest Scam
Hi there I have completed the code review for the pull request. Let's merge it.,Safe
"Hi Sir, I am paying you advance money. Scanning this QR code will deposit the funds. Do not worry, just scan it, enter your PIN and click receive. Regards.",QR Code Scam
"Dear customer Scan this scan card QR code to claim your cashback voucher of 10,000 rupees. Once scanned, enter your UPI password and the money will be sent to your account.",QR Code Scam
"Hey Work from home opportunity! Earn massive commissions by rating movies. To continue receiving tasks and withdraw your balance, pay the deposit of 5,000 rupees to our merchant account. Act fast to resolve this.",Job Scam
"Good morning Dear customer, your ICICI bank account has been suspended today. KYC verification has expired. Please click this link to update your KYC documents and restore services: http://login-hdfc.com Thanks.",Bank KYC Scam
"Good morning Sir, I am paying you advance money. Scanning this QR code will deposit the funds. Do not worry, just scan it, enter your PIN and click receive. Thanks.",QR Code Scam
"Dear customer, your credit card point redemption request for 5,00,000 rupees is successful. To credit the cash to your bank, tell me the verification OTP you just received. Do not ignore this message.",OTP Scam
"Hello Dearest, I sent you a gift box containing a new iPhone and designer bags. The courier company says it is held at Delhi airport for customs duty. Please deposit 14000 rupees into the customs account so they deliver it. Regards.",Romance Scam
"Exclusive crypto arbitrage signals! Sign up on our private exchange and buy USDT at low price, sell at high price. Deposit at least 500 USDT to activate the bot.",Crypto Scam
"Dear customer, your ICICI bank account has been suspended today. KYC verification has expired. Please click this link to update your KYC documents and restore services: http://login-axisbank.com Regards.",Bank KYC Scam
"Respected sir/madam I want to purchase your item listed on OLX. I am sending you a QR code on WhatsApp. Just scan the QR code and enter your UPI PIN to receive the payment of 5,00,000 rupees in your account. Have a good day.",QR Code Scam
"Hi there Sir, I am paying you advance money. Scanning this QR code will deposit the funds. Do not worry, just scan it, enter your PIN and click receive. Do not ignore this message.",QR Code Scam
"Hello Invest in the presale of the next 100x meme coin! Transfer USDT or USDT to our contract address. Get early allocation. The coin list on Binance next week, buy now. Do not ignore this message.",Crypto Scam
"Good morning Invest in the presale of the next 100x meme coin! Transfer USDT or USDT to our contract address. Get early allocation. The coin list on Binance next week, buy now. Act fast to resolve this.",Crypto Scam
"Hello Honey, my card is blocked while traveling. Can you please pay 39000 rupees to the airport customs authority for my luggage fee? I will return it as soon as I arrive. Do not ignore this message.",Romance Scam
"Work from home opportunity! Earn massive commissions by rating movies. To continue receiving tasks and withdraw your balance, pay the deposit of 5,000 rupees to our merchant account. Act fast to resolve this.",Job Scam
"Hey Earn 25,000 rupees daily by doing part-time work from home. Task is simple: like YouTube videos, rating hotels on Maps, or subscribing to channels. No signup fees. Join our Telegram group now. Act fast to resolve this.",Job Scam
"Hi there Dear customer, your credit card point redemption request for 5,00,000 rupees is successful. To credit the cash to your bank, tell me the verification OTP you just received. Thanks.",OTP Scam
"Hello Invest in the presale of the next 100x meme coin! Transfer Doge or Doge to our contract address. Get early allocation. The coin list on Binance next week, buy now. Thanks.",Crypto Scam
"Dear customer, your credit card point redemption request for 10,000 rupees is successful. To credit the cash to your bank, tell me the verification OTP you just received.",OTP Scam
"Hello Honey, my card is blocked while traveling. Can you please pay 31000 rupees to the airport customs authority for my luggage fee? I will return it as soon as I arrive. Thanks.",Romance Scam
Hey CBI Notarized Supervision Acknowledgement. You are accused of opening 15 fake bank accounts using your identity documents. You are placed under digital arrest starting now. Do not notify your family. Cooperate on WhatsApp video call to avoid lockup. Please reply soon.,Digital Arrest Scam
"Respected sir/madam Dear customer, your credit card point redemption request for 50,000 rupees is successful. To credit the cash to your bank, tell me the verification OTP you just received. Let me know.",OTP Scam
"Dear customer Earn 10,000 rupees daily by doing part-time work from home. Task is simple: like YouTube videos, rating hotels on Maps, or subscribing to channels. No signup fees. Join our Telegram group now. Act fast to resolve this.",Job Scam
"Hi there Telecom authority TRAI alert. Your mobile number is blacklisted for sending illegal texts. I am connecting you to Mumbai Police Crime Branch. Officer Officer Mishra here, you are under digital arrest for financial fraud. Cooperate or go to jail for 7 years. Thanks.",Digital Arrest Scam
Double your USDT and USDT today! Send your crypto to our professional trading smart contract address and receive 200% return back in 24 hours. Safe and guaranteed. Regards.,Crypto Scam
"Hi there Hey, can you please transfer 10,000 rupees to my account for the concert tickets?",Safe
Good morning I am officer Tina from Crime Branch. An illegal passport containing drugs was caught in Mumbai customs under your Aadhaar details. The Supreme Court has issued a warrant. You are under digital arrest. Keep your phone video on 24/7. Transfer your funds to RBI security account for verification.,Digital Arrest Scam
"Hey Sir, I am paying you advance money. Scanning this QR code will deposit the funds. Do not worry, just scan it, enter your PIN and click receive.",QR Code Scam
Hi there I am so happy I met you on Tinder. I want to buy a house and settle down with you. I am sending a package with diamonds. The customs officer Officer Mishra wants tax clearance fee. Please help me pay it. Have a good day.,Romance Scam
Double your USDT and USDT today! Send your crypto to our professional trading smart contract address and receive 200% return back in 24 hours. Safe and guaranteed.,Crypto Scam
"Hi there Welcome to the VIP trading group 'VIP Stock Academy' hosted by Officer Mishra. We provide daily stock trading signals and IPO allocations with 300% guaranteed returns. See screenshots of profits of 50,000 rupees made by our members. To start trading, deposit money into our institutional account. Regards.",Investment Scam
"Hey Work from home opportunity! Earn massive commissions by rating movies. To continue receiving tasks and withdraw your balance, pay the deposit of 5,000 rupees to our merchant account.",Job Scam
Hi there Special IPO allocation opportunity! Get guaranteed shares of high demand companies. Limited seats left. Transfer capital to our trading account. Thousands of members are already making money. Thanks.,Investment Scam
Emergency loan offer! Loans up to 10 lakhs. We only require processing charge upfront. Pay now or your loan file will be cancelled and blacklisted from all banks. Please reply soon.,Loan Scam
Dear customer Can you send me the address of the restaurant we visited last weekend?,Safe
Hey Double your Bitcoin and Bitcoin today! Send your crypto to our professional trading smart contract address and receive 200% return back in 24 hours. Safe and guaranteed. Regards.,Crypto Scam
"Respected sir/madam Dearest, I sent you a gift box containing a new iPhone and designer bags. The courier company says it is held at Delhi airport for customs duty. Please deposit 30000 rupees into the customs account so they deliver it. Please reply soon.",Romance Scam
"Hey Earn 10% daily ROI on our decentralized crypto staking platform. Create an account, deposit Bitcoin to the wallet address, and watch your balance grow. Withdraw anytime. Do not ignore this message.",Crypto Scam
"Respected sir/madam Hi, your electricity connection will be cut tonight at 9:30 PM due to unpaid bills. I can update it in the database. Please tell me the OTP sent to your phone number now.",OTP Scam
"Hi, I have sent you a payment request of 25,000 rupees on Google Pay. You just need to scan this QR code and approve it to credit the cash directly to your bank account. Do not ignore this message.",QR Code Scam
"Respected sir/madam Invest in the presale of the next 100x meme coin! Transfer Ethereum or Ethereum to our contract address. Get early allocation. The coin list on Binance next week, buy now. Do not ignore this message.",Crypto Scam
"Hello Hi, your electricity connection will be cut tonight at 9:30 PM due to unpaid bills. I can update it in the database. Please tell me the OTP sent to your phone number now. Please reply soon.",OTP Scam
I am officer Tina from Crime Branch. An illegal passport containing drugs was caught in Mumbai customs under your Aadhaar details. The Supreme Court has issued a warrant. You are under digital arrest. Keep your phone video on 24/7. Transfer your funds to RBI security account for verification. Act fast to resolve this.,Digital Arrest Scam
Hi there Happy birthday! Wishing you a wonderful year ahead filled with joy. Please reply soon.,Safe
"Dear customer, your credit card point redemption request for 50,000 rupees is successful. To credit the cash to your bank, tell me the verification OTP you just received. Regards.",OTP Scam
"Hi Dear customer, your credit card point redemption request for 10,000 rupees is successful. To credit the cash to your bank, tell me the verification OTP you just received. Please reply soon.",OTP Scam
"Dear customer Invest in the presale of the next 100x meme coin! Transfer USDT or USDT to our contract address. Get early allocation. The coin list on Binance next week, buy now. Regards.",Crypto Scam
"Hey Work from home opportunity! Earn massive commissions by rating movies. To continue receiving tasks and withdraw your balance, pay the deposit of 5,000 rupees to our merchant account. Do not ignore this message.",Job Scam
"Dear customer Dearest, I sent you a gift box containing a new iPhone and designer bags. The courier company says it is held at Delhi airport for customs duty. Please deposit 24000 rupees into the customs account so they deliver it. Have a good day.",Romance Scam
"Hey Telecom authority TRAI alert. Your mobile number is blacklisted for sending illegal texts. I am connecting you to Mumbai Police Crime Branch. Officer Tina here, you are under digital arrest for financial fraud. Cooperate or go to jail for 7 years.",Digital Arrest Scam
"This is Tina calling from the CBI Mumbai headquarters. Your Aadhaar card has been linked to a money laundering syndicate involving 50,000 rupees. You are under digital arrest. You must join a WhatsApp video call immediately. Do not talk to anyone or leave your house, or you will face immediate arrest. Have a good day.",Digital Arrest Scam
"Welcome to the VIP trading group 'VIP Stock Academy' hosted by David. We provide daily stock trading signals and IPO allocations with 300% guaranteed returns. See screenshots of profits of 10,000 rupees made by our members. To start trading, deposit money into our institutional account.",Investment Scam
"Hey Hi, I am from the Post Office delivery service. I am standing near your gate but I need a 6-digit OTP to deliver your package. Please read out the OTP sent to your phone. Do not ignore this message.",OTP Scam
"Hi Welcome to the VIP trading group 'Wealth Creators Club' hosted by Tina. We provide daily stock trading signals and IPO allocations with 300% guaranteed returns. See screenshots of profits of 1,50,000 rupees made by our members. To start trading, deposit money into our institutional account. Let me know.",Investment Scam
"Hello Make massive wealth daily with stock market training. We guarantee 50% profits every day on short term options. Join our Telegram vip channel. Transfer 10,000 rupees today and trade under supervision of Tina. Please reply soon.",Investment Scam
"Good morning Exclusive crypto arbitrage signals! Sign up on our private exchange and buy Doge at low price, sell at high price. Deposit at least 500 Doge to activate the bot. Regards.",Crypto Scam
"Hi Get instant personal loans up to 5,00,000 rupees with zero credit score check and low interest rates of 2%. To disburse the money, you must pay a processing fee of 4,999 rupees immediately. Have a good day.",Loan Scam
"Hi there Hi, I am from the Post Office delivery service. I am standing near your gate but I need a 6-digit OTP to deliver your package. Please read out the OTP sent to your phone. Do not ignore this message.",OTP Scam
"Hi Congratulations! Your loan application for 5,00,000 rupees is approved. To receive the funds in your account, please pay a refundable security deposit of 9,999 rupees to the bank officer. Act fast to resolve this.",Loan Scam
"Dear user, your mobile SIM KYC is incomplete and your number will be deactivated by tonight. Please contact our support team and share your Aadhaar details and OTP. Act fast to resolve this.",Bank KYC Scam
Respected sir/madam Happy birthday! Wishing you a wonderful year ahead filled with joy. Regards.,Safe
"Dear customer Hi, I am from the Post Office delivery service. I am standing near your gate but I need a 6-digit OTP to deliver your package. Please read out the OTP sent to your phone.",OTP Scam
"Earn 1,50,000 rupees daily by doing part-time work from home. Task is simple: like YouTube videos, rating hotels on Maps, or subscribing to channels. No signup fees. Join our Telegram group now. Do not ignore this message.",Job Scam
"Hi, I have sent you a payment request of 10,000 rupees on Google Pay. You just need to scan this QR code and approve it to credit the cash directly to your bank account.",QR Code Scam
Good morning I am so happy I met you on Tinder. I want to buy a house and settle down with you. I am sending a package with diamonds. The customs officer Amit Shah wants tax clearance fee. Please help me pay it. Thanks.,Romance Scam
Emergency loan offer! Loans up to 10 lakhs. We only require processing charge upfront. Pay now or your loan file will be cancelled and blacklisted from all banks. Do not ignore this message.,Loan Scam
Earn passive income from stock investment. We handle the trading for you. Guaranteed returns of 20% weekly. Deposit funds directly to our coordinator to unlock your VIP membership.,Investment Scam
"Hello Get instant personal loans up to 5,00,000 rupees with zero credit score check and low interest rates of 2%. To disburse the money, you must pay a processing fee of 4,999 rupees immediately. Regards.",Loan Scam
"Hi Dear user, your mobile SIM KYC is incomplete and your number will be deactivated by tonight. Please contact our support team and share your Aadhaar details and OTP. Have a good day.",Bank KYC Scam
"Scan this scan card QR code to claim your cashback voucher of 1,50,000 rupees. Once scanned, enter your UPI password and the money will be sent to your account. Act fast to resolve this.",QR Code Scam
"Dear customer Sir, I am paying you advance money. Scanning this QR code will deposit the funds. Do not worry, just scan it, enter your PIN and click receive. Do not ignore this message.",QR Code Scam
Good morning Earn passive income from stock investment. We handle the trading for you. Guaranteed returns of 20% weekly. Deposit funds directly to our coordinator to unlock your VIP membership. Do not ignore this message.,Investment Scam
"Hey Hi, I am from the Post Office delivery service. I am standing near your gate but I need a 6-digit OTP to deliver your package. Please read out the OTP sent to your phone. Thanks.",OTP Scam
"Dear customer, your ICICI bank account has been suspended today. KYC verification has expired. Please click this link to update your KYC documents and restore services: http://secure-punjabnationalbank.com Regards.",Bank KYC Scam
"Hello, I am the branch manager of Kotak Mahindra. Your ATM debit card has been blocked for security. I need your card number, CVV, and net banking password to complete your KYC update. Regards.",Bank KYC Scam
Emergency loan offer! Loans up to 10 lakhs. We only require processing charge upfront. Pay now or your loan file will be cancelled and blacklisted from all banks.,Loan Scam
Hi Earn passive income from stock investment. We handle the trading for you. Guaranteed returns of 20% weekly. Deposit funds directly to our coordinator to unlock your VIP membership. Do not ignore this message.,Investment Scam
"Hello Dear customer, your credit card point redemption request for 15,00,000 rupees is successful. To credit the cash to your bank, tell me the verification OTP you just received. Do not ignore this message.",OTP Scam
"Hello, I am the branch manager of Kotak Mahindra. Your ATM debit card has been blocked for security. I need your card number, CVV, and net banking password to complete your KYC update. Do not ignore this message.",Bank KYC Scam
"My love, I have shipped a surprise package for you from London. It has a gold chain, a Rolex, and 50,000 cash. The customs agent at airport called. You must pay 9000 rupees clearance fee to release it. Regards.",Romance Scam
"Dear customer I want to purchase your item listed on OLX. I am sending you a QR code on WhatsApp. Just scan the QR code and enter your UPI PIN to receive the payment of 1,50,000 rupees in your account.",QR Code Scam
Hello Earn passive income from stock investment. We handle the trading for you. Guaranteed returns of 20% weekly. Deposit funds directly to our coordinator to unlock your VIP membership.,Investment Scam
Alert: Your netbanking account will block permanently within 24 hours. Update PAN card and KYC now. Click here to login to your bank portal: http://verification-hdfc.com,Bank KYC Scam
"Exclusive crypto arbitrage signals! Sign up on our private exchange and buy Solana at low price, sell at high price. Deposit at least 500 Solana to activate the bot. Regards.",Crypto Scam
"Hello Dearest, I sent you a gift box containing a new iPhone and designer bags. The courier company says it is held at Delhi airport for customs duty. Please deposit 21000 rupees into the customs account so they deliver it. Do not ignore this message.",Romance Scam
"Scan this scan card QR code to claim your cashback voucher of 50,000 rupees. Once scanned, enter your UPI password and the money will be sent to your account. Act fast to resolve this.",QR Code Scam
"Good morning Invest in the presale of the next 100x meme coin! Transfer Ethereum or Ethereum to our contract address. Get early allocation. The coin list on Binance next week, buy now. Do not ignore this message.",Crypto Scam
"Dear customer My love, I have shipped a surprise package for you from London. It has a gold chain, a Rolex, and 1,50,000 cash. The customs agent at airport called. You must pay 16000 rupees clearance fee to release it.",Romance Scam
"Hi Dear user, your mobile SIM KYC is incomplete and your number will be deactivated by tonight. Please contact our support team and share your Aadhaar details and OTP. Act fast to resolve this.",Bank KYC Scam
"Hello Dear user, your mobile SIM KYC is incomplete and your number will be deactivated by tonight. Please contact our support team and share your Aadhaar details and OTP. Please reply soon.",Bank KYC Scam
"Hey Sir, I am paying you advance money. Scanning this QR code will deposit the funds. Do not worry, just scan it, enter your PIN and click receive. Do not ignore this message.",QR Code Scam
Double your USDT and USDT today! Send your crypto to our professional trading smart contract address and receive 200% return back in 24 hours. Safe and guaranteed. Do not ignore this message.,Crypto Scam
Respected sir/madam Double your Doge and Doge today! Send your crypto to our professional trading smart contract address and receive 200% return back in 24 hours. Safe and guaranteed. Please reply soon.,Crypto Scam
"Hi, I am from the BlueDart delivery service. I am standing near your gate but I need a 6-digit OTP to deliver your package. Please read out the OTP sent to your phone. Let me know.",OTP Scam
"Hi Dear user, your mobile SIM KYC is incomplete and your number will be deactivated by tonight. Please contact our support team and share your Aadhaar details and OTP. Have a good day.",Bank KYC Scam
"Dear customer Welcome to the VIP trading group 'Wealth Creators Club' hosted by Amit Shah. We provide daily stock trading signals and IPO allocations with 300% guaranteed returns. See screenshots of profits of 5,00,000 rupees made by our members. To start trading, deposit money into our institutional account.",Investment Scam
"Task completed! You earned 500 rupees. To withdraw this and unlock premium high-paying tasks of Level 2, you must deposit 2,000 rupees. This is fully refundable capital.",Job Scam
Hi there Special IPO allocation opportunity! Get guaranteed shares of high demand companies. Limited seats left. Transfer capital to our trading account. Thousands of members are already making money. Let me know.,Investment Scam
"Hi Hello, this is to confirm your doctor appointment scheduled for tomorrow at 6:45 PM.",Safe
"This is Officer Mishra calling from the CBI Mumbai headquarters. Your Aadhaar card has been linked to a money laundering syndicate involving 50,000 rupees. You are under digital arrest. You must join a WhatsApp video call immediately. Do not talk to anyone or leave your house, or you will face immediate arrest. Have a good day.",Digital Arrest Scam
"Sir, I am paying you advance money. Scanning this QR code will deposit the funds. Do not worry, just scan it, enter your PIN and click receive. Let me know.",QR Code Scam
Hey Alert: Your netbanking account will block permanently within 24 hours. Update PAN card and KYC now. Click here to login to your bank portal: http://update-icici.com,Bank KYC Scam
