conversation_id,scammer_message,user_response,response_type,scam_tactic,risk_score,risk_level,effectiveness_score,timestamp,urgency_keywords,fake_fee_mentions,emotional_manipulation,isolation_attempts,authority_claims,threat_indicators,total_scam_indicators,contains_verification,contains_refusal,contains_expertise,response_strength,is_scam,scam_category,user_success
SCAM_0012,Document processing fee,I'll check the company's official website,delaying,fake_authority,7,high,3,2025-08-15 18:54:33,0,1,0,0,0,0,1,1,0,0,3,1,fake_authority,0
SCAM_0013,International transfer authorization code,I work in cybersecurity and I know these tactics,verification,urgency,6,high,5,2025-09-13 03:23:15,0,0,0,0,0,0,0,0,1,1,5,1,urgency,1
SCAM_0014,Tax clearance certificate fee required,There is no such thing as IMF code,expert_mention,threat,9,critical,4,2024-11-27 16:54:27,0,1,0,0,0,0,1,0,1,0,4,1,threat,1
SCAM_0015,Security deposit needed for verification,I'll think about it,refusing,isolation,9,critical,5,2025-08-05 05:03:08,0,0,0,0,1,0,1,0,0,0,5,1,isolation,1
SCAM_0016,Follow the instructions exactly,This doesn't make sense,questioning,urgency,9,critical,4,2025-06-10 16:20:09,0,0,0,0,0,0,0,0,0,0,4,1,urgency,1
SCAM_0017,There are additional fees required for transaction,Let me verify this with customer service,expert_mention,fake_authority,9,critical,4,2025-01-24 03:40:25,0,1,0,0,0,0,1,1,0,0,4,1,fake_authority,1
SCAM_0018,Don't talk to the bank about this,This doesn't make sense,questioning,fake_authority,8,high,3,2025-04-12 02:07:53,0,0,0,0,0,0,0,0,0,0,3,1,fake_authority,0
SCAM_0019,This is 100% legitimate process,Can you provide official documentation?,refusing,fake_fee,8,high,4,2025-09-07 15:27:36,0,0,0,0,0,0,0,0,0,0,4,1,fake_fee,1
SCAM_0020,This is your last chance to withdraw,Can you provide official documentation?,verification,threat,9,critical,4,2025-07-07 12:17:02,0,0,0,0,0,0,0,0,0,0,4,1,threat,1
SCAM_0021,I will lose my job if you don't pay,I work in cybersecurity and I know these tactics,expert_mention,threat,10,critical,5,2025-04-30 04:48:10,0,1,0,0,0,1,2,0,1,1,5,1,threat,1
SCAM_0022,This is your last chance to withdraw,Can you provide official documentation?,verification,threat,10,critical,4,2025-10-17 05:24:08,0,0,0,0,0,0,0,0,0,0,4,1,threat,1
SCAM_0023,There are limited offers today only,There is no such thing as IMF code,refusing,urgency,7,high,4,2025-10-24 23:03:44,0,0,0,0,0,0,0,0,1,0,4,1,urgency,1
SCAM_0024,I will lose my job if you don't pay,Why the rush?,expert_mention,threat,10,critical,4,2025-05-18 17:28:31,0,1,0,0,0,1,2,0,0,0,4,1,threat,1
SCAM_0025,Don't talk to the bank about this,The bank confirmed these requirements don't exist,questioning,threat,10,critical,3,2024-11-29 13:14:29,0,0,0,0,0,0,0,1,0,0,3,1,threat,0
SCAM_0026,This is your last chance to withdraw,Let me verify this with customer service,refusing,fake_fee,10,critical,5,2025-06-28 23:45:02,0,0,0,0,0,0,0,1,0,0,5,1,fake_fee,1
SCAM_0027,You need to pay IMF code to withdraw your salary,This contradicts standard banking procedures,verification,threat,10,critical,4,2025-05-23 06:21:26,0,1,0,0,0,0,1,0,0,0,4,1,threat,1
SCAM_0028,I will lose my job if you don't pay,This doesn't make sense,expert_mention,emotional_manipulation,4,medium,4,2024-11-27 03:35:08,0,1,0,0,0,1,2,0,0,0,4,1,emotional_manipulation,1
SCAM_0029,Security deposit needed for verification,Let me verify this with customer service,verification,threat,10,critical,4,2025-09-04 11:43:41,0,0,0,0,1,0,1,1,0,0,4,1,threat,1
SCAM_0030,You must pay immediately before expiration,The bank confirmed these requirements don't exist,expert_mention,emotional_manipulation,7,high,4,2024-11-28 11:07:20,1,1,0,0,0,0,2,1,0,0,4,1,emotional_manipulation,1
SCAM_0031,Urgent payment required to unlock funds,I need to consult with financial advisor,counter_attack,urgency,6,high,5,2024-12-16 04:12:46,1,1,0,0,0,0,2,0,0,0,5,1,urgency,1
SCAM_0032,Tax clearance certificate fee required,This contradicts standard banking procedures,verification,fake_authority,8,high,4,2025-01-30 09:02:50,0,1,0,0,0,0,1,0,0,0,4,1,fake_authority,1
SCAM_0033,Don't talk to the bank about this,I'll report to the authorities,counter_attack,fake_fee,7,high,5,2025-07-12 11:56:46,0,0,0,0,0,0,0,0,0,0,5,1,fake_fee,1
SCAM_0034,Follow the instructions exactly,This seems suspicious,counter_attack,isolation,9,critical,4,2025-06-27 01:45:07,0,0,0,0,0,0,0,0,0,0,4,1,isolation,1
SCAM_0035,This is 100% legitimate process,This doesn't make sense,counter_attack,fake_authority,9,critical,4,2025-10-02 17:36:59,0,0,0,0,0,0,0,0,0,0,4,1,fake_authority,1
SCAM_0036,This is your last chance to withdraw,Can you provide official documentation?,delaying,fake_authority,8,high,3,2025-05-17 04:11:09,0,0,0,0,0,0,0,0,0,0,3,1,fake_authority,0
SCAM_0037,I will lose my job if you don't pay,I work in cybersecurity and I know these tactics,counter_attack,emotional_manipulation,4,medium,5,2025-01-22 07:49:06,0,1,0,0,0,1,2,0,1,1,5,1,emotional_manipulation,1
SCAM_0038,There are additional fees required for transaction,I'll check with the bank first,delaying,urgency,9,critical,3,2025-10-30 09:57:44,0,1,0,0,0,0,1,1,0,0,3,1,urgency,0
SCAM_0039,This is your last chance to withdraw,This is obvious scam,questioning,fake_authority,9,critical,3,2025-10-30 08:19:38,0,0,0,0,0,0,0,0,0,0,3,1,fake_authority,0
SCAM_0040,Document processing fee,There is no such thing as IMF code,refusing,fake_authority,9,critical,4,2025-08-22 04:48:07,0,1,0,0,0,0,1,0,1,0,4,1,fake_authority,1
SCAM_0041,Your account will be blocked if you don't pay,Why the rush?,delaying,threat,9,critical,4,2025-07-02 11:13:23,0,1,0,0,0,1,2,0,0,0,4,1,threat,1
SCAM_0042,Tax clearance certificate fee required,Let me verify this with customer service,verification,threat,10,critical,5,2025-10-12 10:28:35,0,1,0,0,0,0,1,1,0,0,5,1,threat,1
SCAM_0043,Emergency service charge,I'll report to the authorities,verification,fake_fee,8,high,5,2025-09-07 04:18:21,0,1,0,0,0,0,1,0,0,0,5,1,fake_fee,1
SCAM_0044,This is 100% legitimate process,The bank confirmed these requirements don't exist,counter_attack,threat,10,critical,5,2025-04-25 07:14:48,0,0,0,0,0,0,0,1,0,0,5,1,threat,1
SCAM_0045,Don't talk to the bank about this,I'll wait for technical support response,expert_mention,urgency,8,high,5,2025-02-13 02:59:57,0,0,0,0,0,0,0,0,0,0,5,1,urgency,1
SCAM_0046,There are limited offers today only,I'll think about it,refusing,fake_fee,8,high,5,2025-04-17 10:49:27,0,0,0,0,0,0,0,0,0,0,5,1,fake_fee,1
SCAM_0047,International transfer authorization code,I need to consult with financial advisor,counter_attack,emotional_manipulation,4,medium,5,2025-10-22 21:37:49,0,0,0,0,0,0,0,0,0,0,5,1,emotional_manipulation,1
SCAM_0048,Your account will be blocked if you don't pay,"I have enough money, I don't need to withdraw now",verification,emotional_manipulation,6,high,4,2025-05-18 09:08:15,0,1,0,0,0,1,2,0,1,0,4,1,emotional_manipulation,1
SCAM_0049,Document processing fee,I prefer to wait for official communication,questioning,fake_authority,7,high,5,2025-05-21 10:35:25,0,1,0,0,0,0,1,0,0,0,5,1,fake_authority,1
SCAM_0050,You need to pay IMF code to withdraw your salary,Why the rush?,counter_attack,threat,10,critical,4,2025-08-06 01:09:17,0,1,0,0,0,0,1,0,0,0,4,1,threat,1
SCAM_0051,Document processing fee,I work in cybersecurity and I know these tactics,counter_attack,fake_fee,7,high,5,2025-06-21 21:38:45,0,1,0,0,0,0,1,0,1,1,5,1,fake_fee,1
SCAM_0052,Tax clearance certificate fee required,I'll wait for technical support response,counter_attack,threat,9,critical,5,2025-01-04 07:08:09,0,1,0,0,0,0,1,0,0,0,5,1,threat,1
SCAM_0053,You must pay immediately before expiration,The bank confirmed these requirements don't exist,expert_mention,fake_authority,8,high,5,2025-11-05 11:41:06,1,1,0,0,0,0,2,1,0,0,5,1,fake_authority,1
SCAM_0054,You must pay immediately before expiration,I need to consult with financial advisor,refusing,isolation,10,critical,4,2025-11-07 14:32:30,1,1,0,0,0,0,2,0,0,0,4,1,isolation,1
SCAM_0055,You must pay immediately before expiration,I'll verify with official sources,refusing,emotional_manipulation,7,high,4,2025-05-03 09:24:56,1,1,0,0,0,0,2,1,0,0,4,1,emotional_manipulation,1
SCAM_0056,Follow the instructions exactly,I'll report to the authorities,verification,urgency,8,high,4,2025-11-21 19:33:19,0,0,0,0,0,0,0,0,0,0,4,1,urgency,1
SCAM_0057,Don't talk to the bank about this,I'll wait for technical support response,counter_attack,fake_fee,10,critical,5,2024-12-30 19:58:51,0,0,0,0,0,0,0,0,0,0,5,1,fake_fee,1
SCAM_0058,Urgent payment required to unlock funds,I work in cybersecurity and I know these tactics,verification,fake_authority,8,high,5,2025-09-27 08:07:50,1,1,0,0,0,0,2,0,1,1,5,1,fake_authority,1
SCAM_0059,Your account will be blocked if you don't pay,Can you provide official documentation?,verification,isolation,9,critical,5,2025-05-07 14:56:06,0,1,0,0,0,1,2,0,0,0,5,1,isolation,1
SCAM_0060,International transfer authorization code,This doesn't make sense,counter_attack,threat,9,critical,4,2025-01-10 23:47:38,0,0,0,0,0,0,0,0,0,0,4,1,threat,1
SCAM_0061,Your account will be blocked if you don't pay,Why the rush?,expert_mention,urgency,9,critical,4,2025-07-14 02:30:23,0,1,0,0,0,1,2,0,0,0,4,1,urgency,1
SCAM_0062,Account activation charge,There is no such thing as IMF code,verification,fake_fee,7,high,5,2025-09-23 09:10:03,0,1,0,0,0,0,1,0,1,0,5,1,fake_fee,1
SCAM_0063,There are additional fees required for transaction,I'll verify with official sources,questioning,emotional_manipulation,5,medium,4,2025-03-27 11:55:03,0,1,0,0,0,0,1,1,0,0,4,1,emotional_manipulation,1
SCAM_0064,Emergency service charge,The bank confirmed these requirements don't exist,counter_attack,fake_authority,9,critical,5,2025-08-14 00:20:07,0,1,0,0,0,0,1,1,0,0,5,1,fake_authority,1
SCAM_0065,You must pay immediately before expiration,Can you provide official documentation?,refusing,fake_authority,8,high,5,2025-09-15 03:51:10,1,1,0,0,0,0,2,0,0,0,5,1,fake_authority,1
SCAM_0066,Document processing fee,This is obvious scam,expert_mention,emotional_manipulation,6,high,5,2024-12-23 15:10:51,0,1,0,0,0,0,1,0,0,0,5,1,emotional_manipulation,1
SCAM_0067,Emergency service charge,I'll report to the authorities,expert_mention,threat,10,critical,5,2025-04-07 22:59:28,0,1,0,0,0,0,1,0,0,0,5,1,threat,1
SCAM_0068,Security deposit needed for verification,I'll think about it,delaying,urgency,8,high,4,2025-02-14 16:37:21,0,0,0,0,1,0,1,0,0,0,4,1,urgency,1
SCAM_0069,Don't talk to the bank about this,This doesn't make sense,verification,emotional_manipulation,7,high,4,2025-01-02 22:09:10,0,0,0,0,0,0,0,0,0,0,4,1,emotional_manipulation,1
SCAM_0070,Don't talk to the bank about this,I need to consult with financial advisor,questioning,fake_authority,7,high,5,2025-03-26 07:05:12,0,0,0,0,0,0,0,0,0,0,5,1,fake_authority,1
SCAM_0071,International transfer authorization code,I'll wait for technical support response,questioning,urgency,9,critical,5,2025-06-26 18:10:10,0,0,0,0,0,0,0,0,0,0,5,1,urgency,1
SCAM_0072,Trust me my dear,There is no such thing as IMF code,expert_mention,emotional_manipulation,4,medium,4,2025-02-16 10:13:40,0,0,2,0,0,0,2,0,1,0,4,1,emotional_manipulation,1
SCAM_0073,This is a mandatory security procedure,Can you provide official documentation?,questioning,threat,9,critical,3,2025-09-16 16:57:55,0,0,0,0,2,0,2,0,0,0,3,1,threat,0
SCAM_0074,I will lose my job if you don't pay,"I have enough money, I don't need to withdraw now",verification,fake_fee,7,high,4,2025-11-19 03:01:58,0,1,0,0,0,1,2,0,1,0,4,1,fake_fee,1
SCAM_0075,You need to pay IMF code to withdraw your salary,I'll think about it,refusing,fake_fee,9,critical,4,2025-07-16 06:23:54,0,1,0,0,0,0,1,0,0,0,4,1,fake_fee,1
SCAM_0076,Currency conversion fee mandatory,This is obvious scam,counter_attack,threat,9,critical,5,2024-12-02 04:16:38,0,1,0,0,1,0,2,0,0,0,5,1,threat,1
SCAM_0077,You must pay immediately before expiration,"I have enough money, I don't need to withdraw now",refusing,fake_authority,8,high,5,2024-12-10 12:48:38,1,1,0,0,0,0,2,0,1,0,5,1,fake_authority,1
SCAM_0078,Security deposit needed for verification,I'll verify with official sources,counter_attack,isolation,8,high,5,2025-05-14 14:17:51,0,0,0,0,1,0,1,1,0,0,5,1,isolation,1
SCAM_0079,You must pay immediately before expiration,Why the rush?,questioning,threat,10,critical,5,2025-01-23 15:45:13,1,1,0,0,0,0,2,0,0,0,5,1,threat,1
SCAM_0080,Emergency service charge,This is obvious scam,refusing,fake_fee,9,critical,4,2024-12-04 14:11:22,0,1,0,0,0,0,1,0,0,0,4,1,fake_fee,1
SCAM_0081,Security deposit needed for verification,I'll check the company's official website,verification,fake_authority,7,high,4,2025-02-19 11:52:26,0,0,0,0,1,0,1,1,0,0,4,1,fake_authority,1
SCAM_0082,Document processing fee,This doesn't make sense,questioning,urgency,8,high,5,2025-11-12 15:31:17,0,1,0,0,0,0,1,0,0,0,5,1,urgency,1
SCAM_0083,Document processing fee,I prefer to wait for official communication,questioning,fake_fee,10,critical,3,2025-02-03 13:35:38,0,1,0,0,0,0,1,0,0,0,3,1,fake_fee,0
SCAM_0084,Currency conversion fee mandatory,I'll wait for technical support response,refusing,isolation,8,high,5,2025-08-17 17:16:42,0,1,0,0,1,0,2,0,0,0,5,1,isolation,1
SCAM_0085,Your account will be blocked if you don't pay,I'll report to the authorities,refusing,emotional_manipulation,6,high,5,2025-03-07 22:18:21,0,1,0,0,0,1,2,0,0,0,5,1,emotional_manipulation,1
SCAM_0086,Security deposit needed for verification,I'll check with the bank first,counter_attack,fake_fee,10,critical,5,2025-05-25 01:38:06,0,0,0,0,1,0,1,1,0,0,5,1,fake_fee,1
SCAM_0087,There are limited offers today only,This seems suspicious,counter_attack,fake_fee,9,critical,4,2025-10-27 15:48:01,0,0,0,0,0,0,0,0,0,0,4,1,fake_fee,1
SCAM_0088,Currency conversion fee mandatory,This contradicts standard banking procedures,delaying,emotional_manipulation,5,medium,3,2025-05-05 02:52:23,0,1,0,0,1,0,2,0,0,0,3,1,emotional_manipulation,0
SCAM_0089,International transfer authorization code,Can you provide official documentation?,verification,fake_authority,9,critical,5,2025-10-07 19:31:08,0,0,0,0,0,0,0,0,0,0,5,1,fake_authority,1
SCAM_0090,There are limited offers today only,This contradicts standard banking procedures,questioning,emotional_manipulation,7,high,4,2024-11-27 07:04:13,0,0,0,0,0,0,0,0,0,0,4,1,emotional_manipulation,1
SCAM_0091,Tax clearance certificate fee required,Let me verify this with customer service,expert_mention,urgency,6,high,4,2025-01-22 21:57:19,0,1,0,0,0,0,1,1,0,0,4,1,urgency,1
SCAM_0092,Tax clearance certificate fee required,This contradicts standard banking procedures,verification,fake_authority,8,high,5,2025-03-11 10:55:12,0,1,0,0,0,0,1,0,0,0,5,1,fake_authority,1
SCAM_0093,Account activation charge,This doesn't make sense,refusing,emotional_manipulation,5,medium,5,2025-06-06 04:33:36,0,1,0,0,0,0,1,0,0,0,5,1,emotional_manipulation,1
SCAM_0094,This is 100% legitimate process,I'll check the company's official website,counter_attack,threat,10,critical,5,2025-01-13 20:24:20,0,0,0,0,0,0,0,1,0,0,5,1,threat,1
SCAM_0095,Follow the instructions exactly,The bank confirmed these requirements don't exist,delaying,urgency,7,high,4,2025-03-28 18:25:05,0,0,0,0,0,0,0,1,0,0,4,1,urgency,1
SCAM_0096,Tax clearance certificate fee required,There is no such thing as IMF code,counter_attack,emotional_manipulation,7,high,5,2025-04-24 07:31:35,0,1,0,0,0,0,1,0,1,0,5,1,emotional_manipulation,1
SCAM_0097,Tax clearance certificate fee required,This is obvious scam,counter_attack,fake_authority,7,high,4,2025-05-23 20:42:12,0,1,0,0,0,0,1,0,0,0,4,1,fake_authority,1
SCAM_0098,This is 100% legitimate process,This seems suspicious,delaying,emotional_manipulation,7,high,3,2025-02-19 09:52:13,0,0,0,0,0,0,0,0,0,0,3,1,emotional_manipulation,0
SCAM_0099,Don't talk to the bank about this,This doesn't make sense,questioning,emotional_manipulation,6,high,3,2025-06-29 07:20:49,0,0,0,0,0,0,0,0,0,0,3,1,emotional_manipulation,0
SCAM_0100,International transfer authorization code,Can you provide official documentation?,verification,fake_fee,7,high,4,2025-08-01 05:23:37,0,0,0,0,0,0,0,0,0,0,4,1,fake_fee,1
SCAM_0101,Don't talk to the bank about this,Why the rush?,expert_mention,fake_authority,9,critical,4,2025-05-31 04:51:56,0,0,0,0,0,0,0,0,0,0,4,1,fake_authority,1
SCAM_0102,Don't talk to the bank about this,Let me verify this with customer service,counter_attack,urgency,6,high,4,2025-05-18 18:30:27,0,0,0,0,0,0,0,1,0,0,4,1,urgency,1
SCAM_0103,There are limited offers today only,This seems suspicious,refusing,urgency,7,high,5,2025-04-08 12:23:00,0,0,0,0,0,0,0,0,0,0,5,1,urgency,1
SCAM_0104,Your account will be blocked if you don't pay,This seems suspicious,expert_mention,isolation,10,critical,4,2024-12-18 14:00:35,0,1,0,0,0,1,2,0,0,0,4,1,isolation,1
SCAM_0105,There are additional fees required for transaction,I work in cybersecurity and I know these tactics,refusing,emotional_manipulation,7,high,5,2025-06-02 17:56:50,0,1,0,0,0,0,1,0,1,1,5,1,emotional_manipulation,1
SCAM_0106,International transfer authorization code,"I'm not in a hurry, I can wait",verification,emotional_manipulation,4,medium,4,2025-09-08 07:15:02,0,0,0,0,0,0,0,0,1,0,4,1,emotional_manipulation,1
SCAM_0107,This is 100% legitimate process,Can you provide official documentation?,verification,threat,9,critical,5,2025-05-03 20:46:08,0,0,0,0,0,0,0,0,0,0,5,1,threat,1
SCAM_0108,Urgent payment required to unlock funds,"I'm not in a hurry, I can wait",verification,threat,10,critical,5,2024-12-02 13:03:52,1,1,0,0,0,0,2,0,1,0,5,1,threat,1
SCAM_0109,Urgent payment required to unlock funds,Let me verify this with customer service,questioning,fake_authority,9,critical,3,2025-08-07 21:22:17,1,1,0,0,0,0,2,1,0,0,3,1,fake_authority,0
SCAM_0110,Don't talk to the bank about this,I'll wait for technical support response,questioning,threat,9,critical,3,2025-03-16 12:17:23,0,0,0,0,0,0,0,0,0,0,3,1,threat,0
SCAM_0111,This is a mandatory security procedure,"I have enough money, I don't need to withdraw now",questioning,isolation,10,critical,3,2025-05-17 04:03:53,0,0,0,0,2,0,2,0,1,0,3,1,isolation,0
SCAM_0112,There are limited offers today only,This contradicts standard banking procedures,delaying,fake_fee,9,critical,3,2025-11-07 17:12:16,0,0,0,0,0,0,0,0,0,0,3,1,fake_fee,0
SCAM_0113,This is 100% legitimate process,This doesn't make sense,expert_mention,threat,10,critical,5,2025-05-24 08:34:33,0,0,0,0,0,0,0,0,0,0,5,1,threat,1
SCAM_0114,Your account will be blocked if you don't pay,I'll check the company's official website,expert_mention,fake_authority,9,critical,4,2025-07-18 07:24:29,0,1,0,0,0,1,2,1,0,0,4,1,fake_authority,1
SCAM_0115,There are limited offers today only,This contradicts standard banking procedures,refusing,fake_fee,8,high,5,2025-05-16 07:05:57,0,0,0,0,0,0,0,0,0,0,5,1,fake_fee,1
SCAM_0116,Document processing fee,There is no such thing as IMF code,questioning,fake_fee,9,critical,3,2025-06-15 03:16:43,0,1,0,0,0,0,1,0,1,0,3,1,fake_fee,0
SCAM_0117,This is 100% legitimate process,Can you provide official documentation?,questioning,threat,10,critical,3,2024-12-08 05:50:28,0,0,0,0,0,0,0,0,0,0,3,1,threat,0
SCAM_0118,There are limited offers today only,This doesn't make sense,delaying,emotional_manipulation,5,medium,3,2024-12-08 12:06:37,0,0,0,0,0,0,0,0,0,0,3,1,emotional_manipulation,0
SCAM_0119,This is 100% legitimate process,This doesn't make sense,verification,isolation,9,critical,4,2024-12-19 14:44:12,0,0,0,0,0,0,0,0,0,0,4,1,isolation,1
SCAM_0120,You must pay immediately before expiration,This doesn't make sense,verification,isolation,10,critical,4,2025-11-06 18:06:23,1,1,0,0,0,0,2,0,0,0,4,1,isolation,1
SCAM_0121,Security deposit needed for verification,"I have enough money, I don't need to withdraw now",refusing,threat,10,critical,5,2025-06-26 11:46:42,0,0,0,0,1,0,1,0,1,0,5,1,threat,1
SCAM_0122,Account activation charge,I'll report to the authorities,verification,threat,10,critical,5,2025-09-03 08:43:42,0,1,0,0,0,0,1,0,0,0,5,1,threat,1
SCAM_0123,Currency conversion fee mandatory,There is no such thing as IMF code,questioning,fake_fee,9,critical,3,2025-08-19 14:03:23,0,1,0,0,1,0,2,0,1,0,3,1,fake_fee,0
SCAM_0124,Document processing fee,I'll verify with official sources,verification,fake_authority,8,high,4,2025-11-12 13:10:03,0,1,0,0,0,0,1,1,0,0,4,1,fake_authority,1
SCAM_0125,Emergency service charge,I need to consult with financial advisor,refusing,threat,9,critical,4,2025-03-27 09:06:09,0,1,0,0,0,0,1,0,0,0,4,1,threat,1
SCAM_0126,Follow the instructions exactly,I'll check with the bank first,counter_attack,emotional_manipulation,5,medium,4,2025-08-06 09:50:47,0,0,0,0,0,0,0,1,0,0,4,1,emotional_manipulation,1
SCAM_0127,Currency conversion fee mandatory,This doesn't make sense,refusing,urgency,8,high,5,2024-11-28 19:14:06,0,1,0,0,1,0,2,0,0,0,5,1,urgency,1
SCAM_0128,Follow the instructions exactly,I need to consult with financial advisor,refusing,isolation,8,high,5,2025-03-06 16:09:33,0,0,0,0,0,0,0,0,0,0,5,1,isolation,1
SCAM_0129,There are limited offers today only,Can you provide official documentation?,expert_mention,emotional_manipulation,5,medium,5,2025-07-17 17:37:54,0,0,0,0,0,0,0,0,0,0,5,1,emotional_manipulation,1
SCAM_0130,Don't talk to the bank about this,There is no such thing as IMF code,questioning,isolation,10,critical,4,2025-07-31 23:55:01,0,0,0,0,0,0,0,0,1,0,4,1,isolation,1
SCAM_0131,I will lose my job if you don't pay,This is obvious scam,expert_mention,fake_fee,7,high,4,2025-05-28 17:03:19,0,1,0,0,0,1,2,0,0,0,4,1,fake_fee,1
SCAM_0132,There are additional fees required for transaction,I'll check with the bank first,refusing,fake_authority,7,high,5,2024-12-07 19:27:43,0,1,0,0,0,0,1,1,0,0,5,1,fake_authority,1
SCAM_0133,This is your last chance to withdraw,Can you provide official documentation?,expert_mention,emotional_manipulation,7,high,4,2024-12-01 20:13:26,0,0,0,0,0,0,0,0,0,0,4,1,emotional_manipulation,1
SCAM_0134,Urgent payment required to unlock funds,I'll wait for technical support response,delaying,urgency,9,critical,4,2025-06-12 10:07:57,1,1,0,0,0,0,2,0,0,0,4,1,urgency,1
SCAM_0135,Trust me my dear,"I'm not in a hurry, I can wait",expert_mention,urgency,6,high,5,2025-10-30 23:21:27,0,0,2,0,0,0,2,0,1,0,5,1,urgency,1
SCAM_0136,Don't talk to the bank about this,"I have enough money, I don't need to withdraw now",counter_attack,urgency,9,critical,5,2025-02-09 16:29:18,0,0,0,0,0,0,0,0,1,0,5,1,urgency,1
SCAM_0137,There are additional fees required for transaction,I'll check the company's official website,verification,urgency,9,critical,5,2025-04-29 07:38:32,0,1,0,0,0,0,1,1,0,0,5,1,urgency,1
SCAM_0138,Tax clearance certificate fee required,"I have enough money, I don't need to withdraw now",verification,isolation,10,critical,4,2025-04-16 17:02:11,0,1,0,0,0,0,1,0,1,0,4,1,isolation,1
SCAM_0139,Security deposit needed for verification,"I'm not in a hurry, I can wait",expert_mention,fake_fee,10,critical,5,2025-02-28 19:36:27,0,0,0,0,1,0,1,0,1,0,5,1,fake_fee,1
SCAM_0140,There are limited offers today only,This doesn't make sense,counter_attack,isolation,8,high,5,2025-05-29 09:13:15,0,0,0,0,0,0,0,0,0,0,5,1,isolation,1
SCAM_0141,Tax clearance certificate fee required,I'll check the company's official website,counter_attack,fake_authority,9,critical,5,2025-05-17 06:04:36,0,1,0,0,0,0,1,1,0,0,5,1,fake_authority,1
SCAM_0142,Emergency service charge,I'll check with the bank first,delaying,urgency,9,critical,3,2025-05-10 10:09:15,0,1,0,0,0,0,1,1,0,0,3,1,urgency,0
SCAM_0143,There are additional fees required for transaction,"I have enough money, I don't need to withdraw now",verification,emotional_manipulation,6,high,5,2025-09-19 14:36:45,0,1,0,0,0,0,1,0,1,0,5,1,emotional_manipulation,1
SCAM_0144,Security deposit needed for verification,I'll check the company's official website,counter_attack,fake_fee,9,critical,5,2025-04-30 05:17:33,0,0,0,0,1,0,1,1,0,0,5,1,fake_fee,1
SCAM_0145,Don't talk to the bank about this,This is obvious scam,expert_mention,urgency,8,high,5,2025-04-28 22:54:51,0,0,0,0,0,0,0,0,0,0,5,1,urgency,1
SCAM_0146,Tax clearance certificate fee required,"I'm not in a hurry, I can wait",questioning,fake_authority,7,high,5,2025-10-22 18:12:11,0,1,0,0,0,0,1,0,1,0,5,1,fake_authority,1
SCAM_0147,This is 100% legitimate process,I'll check with the bank first,delaying,urgency,8,high,3,2024-12-12 07:34:52,0,0,0,0,0,0,0,1,0,0,3,1,urgency,0
SCAM_0148,This is 100% legitimate process,I'll report to the authorities,refusing,fake_authority,9,critical,4,2025-07-21 17:48:35,0,0,0,0,0,0,0,0,0,0,4,1,fake_authority,1
SCAM_0149,Your account will be blocked if you don't pay,I'll check with the bank first,refusing,fake_authority,9,critical,5,2025-10-10 16:08:48,0,1,0,0,0,1,2,1,0,0,5,1,fake_authority,1
SCAM_0150,Trust me my dear,I need to consult with financial advisor,expert_mention,threat,9,critical,4,2025-01-02 17:14:10,0,0,2,0,0,0,2,0,0,0,4,1,threat,1
